DATE,TEAM,VS,H/A,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
01/09/2023 , MEM,SAS,H,W,240,121,45,91,49.5,11,26,42.3,20,35,57.1,11,39,50,26,9,7,13,15
01/11/2023 , MEM,SAS,H,W,240,135,52,101,51.5,14,22,63.6,17,25,68,17,40,57,19,6,8,13,17
01/14/2023 , MEM,IND,A,W,240,130,48,87,55.2,12,32,37.5,22,28,78.6,7,38,45,32,11,8,15,21
01/16/2023 , MEM,PHX,H,W,240,136,52,98,53.1,16,37,43.2,16,20,80,13,38,51,29,8,6,10,19
01/18/2023 , MEM,CLE,H,W,240,115,44,97,45.4,11,34,32.4,16,22,72.7,15,27,42,22,10,7,8,19
01/20/2023 , MEM,LAL,A,L,240,121,43,102,42.2,9,29,31,26,40,65,24,39,63,24,6,7,14,31
01/22/2023 , MEM,PHX,A,L,240,110,40,92,43.5,11,32,34.4,19,27,70.4,15,37,52,28,8,4,20,22
01/23/2023 , MEM,SAC,A,L,240,100,40,98,40.8,12,36,33.3,8,10,80,10,21,31,28,14,3,15,21
01/25/2023 , MEM,GSW,A,L,240,120,42,88,47.7,10,31,32.3,26,37,70.3,11,25,36,26,10,3,13,26
01/27/2023 , MEM,MIN,A,L,240,100,38,93,40.9,8,33,24.2,16,19,84.2,15,32,47,22,14,2,20,12
01/29/2023 , MEM,IND,H,W,240,112,43,89,48.3,9,37,24.3,17,22,77.3,15,26,41,29,10,8,7,21
02/01/2023 , MEM,POR,H,L,240,112,41,87,47.1,9,37,24.3,21,28,75,12,32,44,28,8,7,12,22
02/02/2023 , MEM,CLE,A,L,240,113,41,87,47.1,10,23,43.5,21,22,95.5,11,33,44,22,8,5,18,23
02/05/2023 , MEM,TOR,H,L,240,103,38,78,48.7,10,27,37,17,23,73.9,8,36,44,25,10,9,20,16
02/07/2023 , MEM,CHI,H,W,240,104,39,81,48.1,11,33,33.3,15,21,71.4,5,34,39,22,10,7,13,21
02/10/2023 , MEM,MIN,H,W,240,128,49,84,58.3,10,25,40,20,27,74.1,9,35,44,27,12,6,18,19
02/12/2023 , MEM,BOS,A,L,240,109,42,84,50,12,34,35.3,13,21,61.9,3,31,34,24,4,5,8,22
02/15/2023 , MEM,UTA,H,W,240,117,43,107,40.2,14,40,35,17,25,68,17,29,46,24,13,9,4,21
02/23/2023 , MEM,PHI,A,L,240,105,34,87,39.1,7,32,21.9,30,36,83.3,13,36,49,22,5,7,11,27
02/25/2023 , MEM,DEN,H,W,240,112,45,95,47.4,15,44,34.1,7,8,87.5,11,39,50,25,10,3,12,13
02/28/2023 , MEM,LAL,H,W,240,121,51,112,45.5,6,31,19.4,13,17,76.5,14,33,47,25,13,6,6,17
03/01/2023 , MEM,HOU,A,W,240,113,40,83,48.2,17,41,41.5,16,19,84.2,8,36,44,27,6,9,7,21
03/03/2023 , MEM,DEN,A,L,240,97,31,84,36.9,11,32,34.4,24,31,77.4,10,30,40,24,6,6,10,24
03/05/2023 , MEM,LAC,A,L,240,129,50,92,54.3,18,34,52.9,11,15,73.3,2,24,26,32,13,3,8,23
03/07/2023 , MEM,LAL,A,L,240,103,36,93,38.7,9,37,24.3,22,29,75.9,6,39,45,18,6,6,7,25
03/09/2023 , MEM,GSW,H,W,240,131,50,93,53.8,18,40,45,13,18,72.2,9,33,42,36,6,3,12,18
03/11/2023 , MEM,DAL,H,W,240,112,41,86,47.7,10,38,26.3,20,24,83.3,11,34,45,25,7,5,11,16
03/13/2023 , MEM,DAL,A,W,240,104,38,83,45.8,12,37,32.4,16,19,84.2,7,40,47,23,9,3,14,17
03/15/2023 , MEM,MIA,A,L,240,119,46,91,50.5,18,46,39.1,9,14,64.3,12,27,39,29,6,1,16,20
03/17/2023 , MEM,SAS,A,W,265,126,49,101,48.5,14,38,36.8,14,21,66.7,15,37,52,27,13,9,17,24
03/18/2023 , MEM,GSW,H,W,240,133,52,95,54.7,18,38,47.4,11,17,64.7,11,28,39,35,5,5,6,24
03/20/2023 , MEM,DAL,H,W,240,112,41,89,46.1,10,35,28.6,20,26,76.9,17,33,50,21,5,3,11,18
03/22/2023 , MEM,HOU,H,W,240,130,45,87,51.7,12,36,33.3,28,33,84.8,12,24,36,27,8,4,10,21
03/24/2023 , MEM,HOU,H,W,240,151,57,93,61.3,25,42,59.5,12,14,85.7,5,30,35,36,12,7,10,19
03/26/2023 , MEM,ATL,A,W,240,123,48,89,53.9,13,33,39.4,14,19,73.7,6,33,39,28,8,7,11,22
03/28/2023 , MEM,ORL,H,W,240,113,42,88,47.7,12,34,35.3,17,23,73.9,7,42,49,26,11,6,16,17
03/29/2023 , MEM,LAC,H,L,240,132,49,95,51.6,11,32,34.4,23,28,82.1,14,31,45,26,8,4,13,20
03/31/2023 , MEM,LAC,H,W,240,108,43,96,44.8,9,33,27.3,13,17,76.5,12,39,51,25,11,7,14,16
04/02/2023 , MEM,CHI,A,L,240,107,39,84,46.4,19,43,44.2,10,12,83.3,8,39,47,29,1,3,18,22
04/04/2023 , MEM,POR,H,W,240,119,42,87,48.3,18,48,37.5,17,22,77.3,8,41,49,30,5,5,11,10
04/05/2023 , MEM,NOP,A,L,265,131,50,104,48.1,12,36,33.3,19,25,76,15,34,49,33,10,6,13,25
04/07/2023 , MEM,MIL,A,W,240,137,53,93,57,20,42,47.6,11,15,73.3,11,33,44,39,9,6,12,20
04/09/2023 , MEM,OKC,A,L,240,100,40,92,43.5,7,37,18.9,13,18,72.2,11,32,43,25,8,4,12,16
10/19/2022 , SAC,POR,H,L,240,108,39,85,45.9,17,44,38.6,13,19,68.4,4,37,41,27,8,5,15,25
10/22/2022 , SAC,LAC,H,L,240,109,40,85,47.1,14,35,40,15,26,57.7,9,30,39,24,5,5,12,21
10/23/2022 , SAC,GSW,A,L,240,125,47,100,47,11,43,25.6,20,25,80,13,38,51,31,10,2,16,29
10/27/2022 , SAC,MEM,H,L,240,110,40,83,48.2,12,38,31.6,18,22,81.8,9,31,40,28,5,2,13,20
10/29/2022 , SAC,MIA,H,W,240,119,42,76,55.3,14,31,45.2,21,29,72.4,6,37,43,27,1,6,20,29
10/31/2022 , SAC,CHA,A,W,240,115,37,85,43.5,17,44,38.6,24,28,85.7,10,32,42,26,8,4,19,19
11/02/2022 , SAC,MIA,A,L,240,107,41,86,47.7,13,36,36.1,12,14,85.7,4,35,39,29,4,3,12,18
11/05/2022 , SAC,ORL,A,W,265,126,47,93,50.5,15,40,37.5,17,26,65.4,6,30,36,24,5,4,14,20
11/07/2022 , SAC,GSW,A,L,240,113,37,91,40.7,14,40,35,25,29,86.2,9,34,43,24,9,0,10,20
11/09/2022 , SAC,CLE,H,W,240,127,40,76,52.6,17,39,43.6,30,35,85.7,2,22,24,30,12,4,9,20
11/11/2022 , SAC,LAL,A,W,240,120,45,87,51.7,12,36,33.3,18,21,85.7,10,30,40,27,10,4,15,17
